	D300423:bin_000011	D300423:bin_000014	D300431:bin_000017	D300432:bin_000002	D300433:bin_000005	D300433:bin_000009	D300442:bin_000011	D300444:bin_000010	D300444:bin_000011	D300446:bin_000001	D300449:bin_000011	D300451:bin_000001	D300457:bin_000005	D300459:bin_000001	D300472:bin_000003	D300476:bin_000013	D300477:bin_000001	D300479:bin_000012	D300491:bin_000007	D300492:bin_000002	D300492:bin_000003	D300495:bin_000003	D300498:bin_000001	D300508:bin_000006	D300513:bin_000002	D300514:bin_000001	D300514:bin_000005	D300519:bin_000004	D300522:bin_000007	D300525:bin_000012	TG2_35:bin_000003	TG2_35:bin_000021	TG5_21:bin_000003	TG5_21:bin_000004
D300449:bin_000011	0.174562134075603	0.162521572438668	0.179058196755272	0.242751398834388	0.208509529010268	0.202190022910276	0.257796227216621	0.220753008388155	0.207853369423351	0.224984633086798	0.0	0.454462511950628	0.193277469044842	0.300092468674065	0.244457300885137	0.156470390699946	0.175620500250712	0.265327940764773	0.243242355851724	0.222841166835932	0.222187380093972	0.234732668550582	0.212815715381574	0.173262629407448	0.189934928082378	0.209628826911138	0.195468014125995	0.226330116520181	0.217265977291961	0.200664701354476	0.185066372162387	0.20343293382027	0.172952589086511	0.230911201594357
D300451:bin_000001	0.476674752805481	0.498161762800465	0.518927716221513	0.379776814642706	0.409615413555247	0.406311091226737	0.428065978717263	0.374516089538119	0.446109292276677	0.450102632668768	0.454462511950628	0.0	0.415166606817618	0.471009281430786	0.459783572854695	0.438181227433718	0.397422049175843	0.551659522064338	0.474175896231672	0.400388763464307	0.423988351572548	0.47026119723721	0.368600034258821	0.450892534825508	0.399182548980435	0.400517430993021	0.418050354266214	0.422826066518274	0.414438380035144	0.45616624308024	0.439923616065327	0.403210946042094	0.425413622795631	0.432620452287319
D300457:bin_000005	0.217688673673498	0.220798447089649	0.242234616846068	0.203655258729183	0.184945468250181	0.105652719825642	0.17604136546501	0.125867174401799	0.208479634074845	0.236310308315631	0.193277469044842	0.415166606817618	0.0	0.286036731291305	0.175348811180412	0.181118945118411	0.135869544521721	0.224163780777224	0.169231954213211	0.164894137789678	0.138867563156746	0.171961796427011	0.142519547048713	0.157485651911019	0.182255242116947	0.15888356163595	0.155259984715736	0.140022515986621	0.142761771134041	0.202554274419356	0.186110254903776	0.157005208636282	0.136012722281705	0.172724697705235
D300459:bin_000001	0.295662065737709	0.295139400054261	0.277738369349412	0.306454996007566	0.316990926868197	0.30691962708801	0.288118815150161	0.313269362705767	0.305076462652717	0.253777698681936	0.300092468674065	0.471009281430786	0.286036731291305	0.0	0.312915173972786	0.273034922632454	0.287023669511008	0.26052448307887	0.276037629708316	0.289993779192972	0.324094810562369	0.313974588277837	0.334519314831175	0.293195426397646	0.295837637372265	0.280162987006082	0.304348543955633	0.266853575408886	0.295090844324738	0.277465951837136	0.325366128681183	0.315588133160151	0.280580914787789	0.299369074682006
D300472:bin_000003	0.273100487572694	0.244187604788327	0.265642275932349	0.217551666618504	0.16170118034308	0.184422760820415	0.187429289737847	0.184815049629661	0.232177725680144	0.282855411065814	0.244457300885137	0.459783572854695	0.175348811180412	0.312915173972786	0.0	0.234330714535261	0.190828814048698	0.238708620211778	0.198279342123215	0.156553964170875	0.189159181555635	0.127793939393968	0.152399705849473	0.206547955889105	0.19559796882797	0.205833785744837	0.163416881710563	0.174039639922707	0.173899294846489	0.221198315217254	0.226058554436006	0.216411990831187	0.183436607654986	0.074822695035461
D300476:bin_000013	0.218569891456923	0.172520047386727	0.154578838254228	0.264681550073164	0.205333297270321	0.206254638604889	0.192877519829938	0.18349036977679	0.151322188449848	0.185855583257203	0.156470390699946	0.438181227433718	0.181118945118411	0.273034922632454	0.234330714535261	0.0	0.206582543700168	0.249790351368208	0.212654247325495	0.168706959018923	0.224968595162535	0.263284125313775	0.22327344151185	0.171810763106782	0.195611250624731	0.196206327443016	0.195943735387	0.168224277497498	0.230844270798124	0.230721090954641	0.177832079453498	0.17507171255919	0.207851034311649	0.211564757088452
D300477:bin_000001	0.23596551102594	0.21886751433737	0.240946053764558	0.193756481737902	0.176736304867454	0.15480267082561	0.179560585852832	0.183611035284975	0.200609899323268	0.230680955368506	0.175620500250712	0.397422049175843	0.135869544521721	0.287023669511008	0.190828814048698	0.206582543700168	0.0	0.261140546174547	0.204577349485275	0.164724022454655	0.18599852212522	0.209853146813028	0.145333800649154	0.123906168032735	0.165331298294412	0.187864243047138	0.168717901376567	0.156648561690375	0.152526379344411	0.203591588138898	0.145438572443932	0.174059600087732	0.132686049309337	0.188062856601889
D300479:bin_000012	0.204776824407079	0.273555201334579	0.286823832342568	0.277371775802899	0.281091791825694	0.251746812042891	0.260252506876706	0.263912150497527	0.229481334144297	0.262169298284903	0.265327940764773	0.551659522064338	0.224163780777224	0.26052448307887	0.238708620211778	0.249790351368208	0.261140546174547	0.0	0.239101698314505	0.249624135103268	0.230602612572168	0.279860612550576	0.275006749701625	0.232787734566024	0.269276852878491	0.287727034126845	0.250561484676436	0.213576631991368	0.255485380406339	0.232960053213621	0.255860672238734	0.26641547909553	0.251267880346504	0.25480791099192
D300491:bin_000007	0.207748637387999	0.258127712851553	0.266139030570446	0.285148890971608	0.207816203818087	0.210913080734764	0.178883468172779	0.181707260796966	0.233905513789528	0.227143107964785	0.243242355851724	0.474175896231672	0.169231954213211	0.276037629708316	0.198279342123215	0.212654247325495	0.204577349485275	0.239101698314505	0.0	0.182271226631315	0.220308467167576	0.220456479529711	0.238901150781205	0.179481417757354	0.258347116314695	0.175964448483304	0.188310925844868	0.197518181903357	0.220121238610355	0.276597274446922	0.228531552665004	0.201267214836269	0.218186752042476	0.200052391768605
D300492:bin_000002	0.232416167479448	0.235752215802725	0.257897605417299	0.180616383633129	0.148431415849162	0.140584404548988	0.0885920094992901	0.139463690994168	0.218043331865935	0.233401868315434	0.222841166835932	0.400388763464307	0.164894137789678	0.289993779192972	0.156553964170875	0.168706959018923	0.164724022454655	0.249624135103268	0.182271226631315	0.0	0.193595056962695	0.195026157485531	0.15333676328963	0.199363916684824	0.171225705472313	0.137270365309187	0.136611093097298	0.0879163469410595	0.175120040229908	0.223855031594378	0.200045257266234	0.155930608555032	0.147633554983497	0.13421353863896
