	D300423:bin_000011	D300423:bin_000014	D300431:bin_000017	D300432:bin_000002	D300433:bin_000005	D300433:bin_000009	D300442:bin_000011	D300444:bin_000010	D300444:bin_000011	D300446:bin_000001	D300449:bin_000011	D300451:bin_000001	D300457:bin_000005	D300459:bin_000001	D300472:bin_000003	D300476:bin_000013	D300477:bin_000001	D300479:bin_000012	D300491:bin_000007	D300492:bin_000002	D300492:bin_000003	D300495:bin_000003	D300498:bin_000001	D300508:bin_000006	D300513:bin_000002	D300514:bin_000001	D300514:bin_000005	D300519:bin_000004	D300522:bin_000007	D300525:bin_000012	TG2_35:bin_000003	TG2_35:bin_000021	TG5_21:bin_000003	TG5_21:bin_000004
D300451:bin_000001	0.1597081832487806	0.11131408656307136	0.2202754379933679	0.1936940613684855	0.17574635442330971	0.1657622499592003	0.23012616166893463	0.24556841524307402	0.21684005643614981	0.15148188108925792	0.18970579940779578	0.0	0.21846734340042087	0.1772309125747388	0.22922265800145236	0.2088840411852957	0.22019622316072882	0.24739279899052802	0.20832741179213596	0.17324234597838037	0.20992097572213017	0.14171488412418792	0.20388347282880262	0.22973503618729546	0.2562161006895796	0.16424181794351916	0.1726782692703788	0.2468108151713418	0.22285384253196266	0.2536322974599099	0.1495620896145834	0.19070711028182413	0.23997675674214508	0.1535911412774673
D300457:bin_000005	0.26483941434189595	0.18875404038932472	0.16505405452306723	0.18433270302884303	0.18486011205027147	0.19553887985542542	0.2362046347332408	0.16862618043763067	0.19839376461342867	0.24454307194543673	0.22981017103632048	0.21846734340042087	0.0	0.13923284626352342	0.21805730946826982	0.25564622453995656	0.23132476721341966	0.18966947659478545	0.1743340664964513	0.2358767765611951	0.15728189919367477	0.14031311053582995	0.21863649765767856	0.16154061207496084	0.2306680848171747	0.2473083316027582	0.1976184041534959	0.2029454867895921	0.25131696662078024	0.19014083184645414	0.14012393644918655	0.1308410317959705	0.22914306960632017	0.13222282275406055
D300459:bin_000001	0.205182343150767	0.1809488939002734	0.11444616543472715	0.2389472850724209	0.19056377468469546	0.24486632674201592	0.15196188628328494	0.2129988072405331	0.15896824131660958	0.21242786807123687	0.2733636863951674	0.1772309125747388	0.13923284626352342	0.0	0.25444554704337785	0.22869916661527348	0.2017327183386026	0.2495523615539602	0.18133808260451695	0.2772729717998614	0.18133611061869784	0.1491345576609726	0.12502035543828632	0.24167648884557533	0.18842903670653058	0.18011252211227738	0.21372251802702982	0.2117337923899216	0.20046977972662766	0.14934135346065858	0.14529412617724072	0.21137442835841613	0.2028672264068322	0.13334901326636908
D300472:bin_000003	0.1365528112572263	0.18424233145184618	0.16298709988230656	0.21127394599001276	0.12808876972547106	0.25946486633545923	0.16193187699628553	0.22250902084491284	0.14460544172636938	0.2151668187975845	0.17976472239648555	0.22922265800145236	0.21805730946826982	0.25444554704337785	0.0	0.28039454489500826	0.2273175480215923	0.19862335243622325	0.2590886804014349	0.22854633535509028	0.30789959235216985	0.17797854067412947	0.20319370345925297	0.13675408214836038	0.18678691545316747	0.22743751529381465	0.2612715354397781	0.14638817398508697	0.2654512980436312	0.2176409844068796	0.17956205320044025	0.18648386129037123	0.27835395449936035	0.1667085380254
D300476:bin_000013	0.1719317951529139	0.2024082536937222	0.1126836855259011	0.24518599473677816	0.13868831143624022	0.1770424265347435	0.20326357365735856	0.19497074762970237	0.21919995875424025	0.19381321480039487	0.22267138737401748	0.2088840411852957	0.25564622453995656	0.22869916661527348	0.28039454489500826	0.0	0.1821799815887764	0.1954844302401047	0.19897864120503236	0.22198447486162334	0.20022152969185072	0.1843712523335677	0.22162267417009118	0.2654578286191589	0.1669077995089524	0.21319248559104026	0.15762237273039206	0.149367429352349	0.24480083627196436	0.13001707382858246	0.18206014859159697	0.19938900506901433	0.250841253745354	0.25674485758574295
D300477:bin_000001	0.24413637837457014	0.1834448446582522	0.16534955021749845	0.1881179556923758	0.17803911227006614	0.21092796593311958	0.2627625332285509	0.16466399789037414	0.1276583786308419	0.17233276595570235	0.18335356844854406	0.22019622316072882	0.23132476721341966	0.2017327183386026	0.2273175480215923	0.1821799815887764	0.0	0.16324652837379364	0.1660905500014339	0.25385274197824526	0.3164444389651381	0.1312260547191402	0.17346483607875202	0.18677391611549002	0.26270916561988766	0.24407607756172717	0.19618633584590428	0.21975865203676342	0.1771215426126591	0.16724466770392535	0.1540102522275329	0.19831428856058445	0.2200348161810386	0.174363274502654
D300479:bin_000012	0.24122900411749965	0.1554632585034557	0.2217581786583911	0.1993478849241431	0.2113173590648074	0.2142493163575088	0.20243525007485894	0.26931054959900796	0.1400489517569333	0.22845102295123884	0.09849054775971858	0.24739279899052802	0.18966947659478545	0.2495523615539602	0.19862335243622325	0.1954844302401047	0.16324652837379364	0.0	0.23168934892780566	0.17867795850776455	0.19036932749381147	0.2662480882175512	0.22769567122620976	0.15794004737606326	0.23009696498901033	0.20194116621273434	0.26017907250227135	0.23335706113560922	0.23820445029360401	0.1885060115060285	0.2598913335430199	0.15284764123905778	0.2258763945215457	0.16993490829641675
D300491:bin_000007	0.19960542712565477	0.27386819521708083	0.17241560701808312	0.23736828353161787	0.1684958304299537	0.23184543485237835	0.2074068350883752	0.24007467682730066	0.21647339299322632	0.15610712614400357	0.15938122550978565	0.20832741179213596	0.1743340664964513	0.18133808260451695	0.2590886804014349	0.19897864120503236	0.1660905500014339	0.23168934892780566	0.0	0.24376881878670031	0.2157097071750155	0.21301564037438525	0.20126898002675978	0.1789362998115358	0.33700273285173477	0.22776420726907318	0.21186623244436373	0.1871045930853701	0.18667048787045049	0.1850069057387866	0.15280740265527498	0.17164236191216528	0.22914676907744227	0.2423665994645302
D300492:bin_000002	0.11423738875557589	0.1399131455205827	0.18303757664075307	0.21441030885963086	0.25649590846771136	0.22750121060486903	0.15567299241714483	0.2525572834420018	0.19701425962152846	0.19182734959316086	0.2033000543135665	0.17324234597838037	0.2358767765611951	0.2772729717998614	0.22854633535509028	0.22198447486162334	0.25385274197824526	0.17867795850776455	0.24376881878670031	0.0	0.16195906452136824	0.170305720599922	0.1628587043633435	0.23248708307038166	0.21516046680643885	0.13736931182683254	0.1862665766630564	0.20670879073058313	0.18201230443146452	0.21158370996931508	0.1285879295136173	0.16773439152785544	0.22970409143165554	0.1562981198253527
D300492:bin_000003	0.177684657378605	0.20307250368611163	0.2005991904924534	0.1864194802629233	0.2042235127822925	0.24138510150250592	0.15485563678604164	0.2333590930385906	0.1999958740457825	0.17377511821714853	0.18896431322612933	0.20992097572213017	0.15728189919367477	0.18133611061869784	0.30789959235216985	0.20022152969185072	0.3164444389651381	0.19036932749381147	0.2157097071750155	0.16195906452136824	0.0	0.16836274652850503	0.16961149319125782	0.17982544398449396	0.22138840426765927	0.22516588309888005	0.1244552874867988	0.23673195288785798	0.28412732522239725	0.20714901381514042	0.20708767508882586	0.22854743351555432	0.24607043870632136	0.15870455388311056
D300495:bin_000003	0.22099854635138486	0.25835262299369616	0.1992636147215937	0.1839013701230642	0.19342045178342984	0.14908973924200458	0.21982643383773245	0.18799086858007036	0.2283129694991521	0.24418724363076527	0.15693402738029263	0.14171488412418792	0.14031311053582995	0.1491345576609726	0.17797854067412947	0.1843712523335677	0.1312260547191402	0.2662480882175512	0.21301564037438525	0.170305720599922	0.16836274652850503	0.0	0.2066989018095372	0.2676135302245541	0.17619767652321444	0.19962098518910182	0.14608754080574127	0.20319573218734988	0.22842014542455105	0.2320991254815413	0.21073032873682407	0.23207931781486163	0.17760634887767515	0.24500920656139752
D300498:bin_000001	0.23072312571651063	0.16847336473738383	0.26247860480979385	0.2394482236394874	0.20278956030003248	0.16962131838431013	0.138960574481271	0.24477253170440436	0.23629552365578282	0.20268948447226987	0.15676199675370728	0.20388347282880262	0.21863649765767856	0.12502035543828632	0.20319370345925297	0.22162267417009118	0.17346483607875202	0.22769567122620976	0.20126898002675978	0.1628587043633435	0.16961149319125782	0.2066989018095372	0.0	0.22569019073485735	0.13109317595126102	0.20437217918833392	0.13000584345057342	0.20170873650239773	0.27693748841457705	0.17430619374814366	0.20578160155990133	0.14760514943563616	0.16866873931044218	0.19848565193712617
D300508:bin_000006	0.22164399380649294	0.23374064153948104	0.18179882931961788	0.33728481184548664	0.19454942463758693	0.21109004560122457	0.19109468957034875	0.2156707421344057	0.1851639817513988	0.2681111575002849	0.20980695731644533	0.22973503618729546	0.16154061207496084	0.24167648884557533	0.13675408214836038	0.2654578286191589	0.18677391611549002	0.15794004737606326	0.1789362998115358	0.23248708307038166	0.17982544398449396	0.2676135302245541	0.22569019073485735	0.0	0.23065429607541732	0.2188094126737511	0.14578099013108858	0.19349799904231751	0.2321193305803535	0.27912037680817925	0.21243346968071933	0.17684647851012317	0.18852136648733653	0.21429601093970127
D300513:bin_000002	0.2440262053005724	0.09113408693229424	0.21098722907551884	0.13465807315372746	0.17976554398895092	0.24668770551815558	0.19223041264548774	0.18616108647072221	0.16419055012487582	0.23314285178788785	0.2598915063047181	0.2562161006895796	0.2306680848171747	0.18842903670653058	0.18678691545316747	0.1669077995089524	0.26270916561988766	0.23009696498901033	0.33700273285173477	0.21516046680643885	0.22138840426765927	0.17619767652321444	0.13109317595126102	0.23065429607541732	0.0	0.2008453063054752	0.13502865036899736	0.1660861388464542	0.21098072108771038	0.1606398325101216	0.24153874024954558	0.21154743918477895	0.22435766267234197	0.20029767129610435
D300514:bin_000001	0.22233699507597227	0.16869531095706614	0.22559317628117787	0.21908265123290985	0.15484237023934416	0.2010687031582205	0.10481966114360097	0.20010086663884452	0.13717005248422276	0.15543370345635893	0.1853435532455439	0.16424181794351916	0.2473083316027582	0.18011252211227738	0.22743751529381465	0.21319248559104026	0.24407607756172717	0.20194116621273434	0.22776420726907318	0.13736931182683254	0.22516588309888005	0.19962098518910182	0.20437217918833392	0.2188094126737511	0.2008453063054752	0.0	0.27368344373153025	0.16755610916129782	0.21385923004941182	0.17343014765909692	0.2102172082034605	0.1993497683653397	0.19332443465395363	0.1696254244151339
D300514:bin_000005	0.19862190074946384	0.1750386695996301	0.24268743843826998	0.2086650330832887	0.19776681617475297	0.2007484649047462	0.15224785595135185	0.20328087574806394	0.10654884369715469	0.21988366152040897	0.21353781532612207	0.1726782692703788	0.1976184041534959	0.21372251802702982	0.2612715354397781	0.15762237273039206	0.19618633584590428	0.26017907250227135	0.21186623244436373	0.1862665766630564	0.1244552874867988	0.14608754080574127	0.13000584345057342	0.14578099013108858	0.13502865036899736	0.27368344373153025	0.0	0.22866023361361149	0.21727062038094389	0.14782707852874277	0.21700771393856055	0.25932135244839444	0.17380616911940847	0.20064186228072856
